Tipo Muert.;Zona;Subzona;Distrito;Circuito;Cod. Subcircu;Subcircuito;provincia;código de provincia;cantón;código de cantón;Coord. Y;Coord. X;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Presun. Motiva.;Presun. Motiva. Obser;Probable Causa M.;Edad;Med. Edad;Sexo;Género;Etnia;Estado Civil;Nacionalidad;Discapacidad;Prof Reg Civ;Instrucción;Antecedentes
HOMICIDIO;ZONA 9;DMQ;LA DELICIA;LA ROLDOS;17D03C05S02;LA ROLDOS 2;PICHINCHA;17;QUITO;1701;-0,085290;-78,511880;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:55;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 2;PICHINCHA;RUMIÑAHUI - MEJIA;MACHACHI SUR;17D11C01S01;MACHACHI SUR 1;PICHINCHA;17;MEJIA;1703;-0,510390;-78,568840;URBANO;CASA/VILLA;PRIVADO;01/01/2024;0:30;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;31;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;VENEZUELA;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 1;ESMERALDAS;QUININDE;LA UNION;08D04C08S01;LA UNION 1;ESMERALDAS;8;QUININDE;804;0,141130;-79,376480;RURAL;VIA PUBLICA;PUBLICO;01/01/2024;2:00;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;EL FLORON;13D01C04S03;EL FLORON 3;MANABÍ;13;PORTOVIEJO;1301;-1,065520;-80,463110;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;10:40;ARMA DE FUEGO;FUSIL               ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;42;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;OBRERO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 7;EL ORO;ZARUMA;GUANAZAN;07D03C06S01;GUANAZAN 1;EL ORO;7;ZARUMA;713;-3,463680;-79,499100;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:30;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;TRABAJADOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 6;AZUAY;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;01D07C02S01;CAMILO PONCE ENRIQUEZ 1;AZUAY;1;CAMILO PONCE ENRIQUEZ;115;-3,057520;-79,744080;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;3:10;ARMA DE FUEGO;REVOLVER            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA DE FUEGO;40;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;PERU;NINGUNA;LAS PERMI.POR.LA.LEY;SIN_DATO;SIN_DATO
ASESINATO;ZONA 7;EL ORO;MACHALA;WILSON FRANCO;07D02C18S01;WILSON FRANCO 1;EL ORO;7;MACHALA;701;-3,267930;-79,995790;URBANO;CASA/VILLA;PRIVADO;01/01/2024;8:10;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;40;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 9;DMQ;ELOY ALFARO;FERROVIARIA;17D06C11S03;FERROVIARIA 3;PICHINCHA;17;QUITO;1701;-0,253340;-78,511060;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;17:30;ARMA BLANCA;CORTO PUNZANTE;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;26;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;INICIAL;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;NARANJAL BALAO;SAN CARLOS;09D12C01S01;SAN CARLOS 1;GUAYAS;9;BALAO;903;-2,904080;-79,684770;RURAL;VIA PUBLICA;PUBLICO;01/01/2024;10:13;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;NARANJAL BALAO;NARANJAL SUR;09D12C04S01;NARANJAL SUR 1;GUAYAS;9;NARANJAL;911;-2,684240;-79,626650;RURAL;CASA/VILLA;PRIVADO;01/01/2024;19:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;31;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 1;IMBABURA;CIUDAD BLANCA;AZAYA;10D01C11S01;AZAYA 1;IMBABURA;10;IBARRA;1001;0,362150;-78,125700;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;19:20;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;16;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;LIGA CANTONAL;09D24C08S02;LIGA CANTONAL 2;GUAYAS;9;DURAN;907;-2,159720;-79,835900;URBANO;CASA/VILLA;PRIVADO;01/01/2024;22:15;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;LIGA CANTONAL;09D24C08S02;LIGA CANTONAL 2;GUAYAS;9;DURAN;907;-2,159720;-79,835900;URBANO;CASA/VILLA;PRIVADO;01/01/2024;22:15;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;41;A;HOMBRE;MASCULINO;MESTIZO/A;DIVORCIADO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;LIGA CANTONAL;09D24C08S02;LIGA CANTONAL 2;GUAYAS;9;DURAN;907;-2,159720;-79,835900;URBANO;CASA/VILLA;PRIVADO;01/01/2024;22:15;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;39;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;LICENCIADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;LIGA CANTONAL;09D24C08S02;LIGA CANTONAL 2;GUAYAS;9;DURAN;907;-2,159720;-79,835900;URBANO;CASA/VILLA;PRIVADO;01/01/2024;22:15;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 3;TUNGURAHUA;AMBATO NORTE;INGAURCO;18D01C06S01;INGAURCO 1;TUNGURAHUA;18;AMBATO;1801;-1,232010;-78,623130;RURAL;CASA/VILLA;PRIVADO;01/01/2024;19:00;OTROS;NINGUNA;VIOLENCIA INTRAFAMILIAR;MALTRATO;CAIDA;9;M;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;ROCAFUERTE;ROCAFUERTE;13D12C01S02;ROCAFUERTE 2;MANABÍ;13;ROCAFUERTE;1312;-0,941560;-80,443120;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;19:50;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO PRIVADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;PUEBLOVIEJO;RICAURTE;12D02C05S01;RICAURTE 1;LOS RÍOS;12;URDANETA;1206;-1,574210;-79,468040;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;22:00;ARMA DE FUEGO;SUBAMETRALLADORA    ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 5;LOS RIOS;PUEBLOVIEJO;RICAURTE;12D02C05S01;RICAURTE 1;LOS RÍOS;12;URDANETA;1206;-1,574210;-79,468040;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;22:00;ARMA DE FUEGO;SUBAMETRALLADORA    ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;19;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER INFORMATIC;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;LIGA CANTONAL;09D24C08S02;LIGA CANTONAL 2;GUAYAS;9;DURAN;907;-2,159720;-79,835900;URBANO;CASA/VILLA;PRIVADO;01/01/2024;22:15;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;63;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;BABAHOYO;UNIVERSIDAD;12D01C08S02;UNIVERSIDAD 2;LOS RÍOS;12;BABAHOYO;1201;-1,807120;-79,516340;URBANO;TERRENO BALDIO;PUBLICO;01/01/2024;20:45;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;17;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;PORTETE;BATALLON DEL SUBURBIO;09D04C05S01;BATALLON DEL SUBURBIO 1;GUAYAS;9;GUAYAQUIL;901;-2,224800;-79,945420;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;14:00;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO PRIVADO;BACHILLERATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,179550;-79,815060;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;48;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EBANISTA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,179550;-79,815060;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;33;A;MUJER;FEMENINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,179550;-79,815060;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,179550;-79,815060;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;59;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;GUARDIA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;NUEVA PROSPERINA;MONTE SINAI;09D08C05S06;MONTE SINAI 6;GUAYAS;9;GUAYAQUIL;901;-2,115660;-80,003600;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;21:20;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,179550;-79,815060;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;41;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;VENEZUELA;NINGUNA;LAS PERMI.POR.LA.LEY;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;NUEVA PROSPERINA;FLOR DE BASTION;09D08C04S08;FLOR DE BASTION 8;GUAYAS;9;GUAYAQUIL;901;-2,093900;-79,958800;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;10:15;ARMA BLANCA;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA BLANCA;38;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;PROGRESO;PROGRESO;09D10C03S01;PROGRESO 1;GUAYAS;9;GUAYAQUIL;901;-2,458620;-80,283560;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;7:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;49;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;JORNALERO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;NUEVA PROSPERINA;MONTE SINAI;09D08C05S01;MONTE SINAI 1;GUAYAS;9;GUAYAQUIL;901;-2,125170;-79,993850;URBANO;VIA PUBLICA;PUBLICO;02/01/2024;4:02;ARMA BLANCA;OTRO;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA BLANCA;54;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;DIVINO NIÑO;09D24C06S01;DIVINO NIÑO 1;GUAYAS;9;DURAN;907;-2,170830;-79,822460;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;SOLDADOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;DIVINO NIÑO;09D24C06S01;DIVINO NIÑO 1;GUAYAS;9;DURAN;907;-2,170830;-79,822460;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;15;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;DIVINO NIÑO;09D24C06S01;DIVINO NIÑO 1;GUAYAS;9;DURAN;907;-2,170830;-79,822460;URBANO;CASA/VILLA;PRIVADO;01/01/2024;4:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;16;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;FLORIDA;FLORIDA;09D06C05S01;FLORIDA 1;GUAYAS;9;GUAYAQUIL;901;-2,135570;-79,946680;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:32;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;SUR;FLORESTA;09D01C03S02;FLORESTA 2;GUAYAS;9;GUAYAQUIL;901;-2,254590;-79,888480;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;12:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;PORTETE;CHALA;09D04C02S01;CHALA 1;GUAYAS;9;GUAYAQUIL;901;-2,204650;-79,914880;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;15:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;OBRERO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;ABEL GILBERT;09D24C01S03;ABEL GILBERT 3;GUAYAS;9;DURAN;907;-2,181440;-79,853460;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;0:20;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;COLOMBIA;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;ABEL GILBERT;09D24C01S01;ABEL GILBERT 1;GUAYAS;9;DURAN;907;-2,184500;-79,844800;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;17:30;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MASCULINO;MESTIZO/A;EN UNION DE HECHO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;ABEL GILBERT;09D24C01S01;ABEL GILBERT 1;GUAYAS;9;DURAN;907;-2,185520;-79,839740;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;1:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;16;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S08;RECREO 8;GUAYAS;9;DURAN;907;-2,175310;-79,818110;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;18:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;18;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;INTELECTUAL;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;SUR;FLORESTA;09D01C03S02;FLORESTA 2;GUAYAS;9;GUAYAQUIL;901;-2,252510;-79,886690;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;21:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;9 DE OCTUBRE;CRISTO DEL CONSUELO;09D03C07S03;CRISTO DEL CONSUELO 3;GUAYAS;9;GUAYAQUIL;901;-2,216960;-79,907520;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;19:30;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;9 DE OCTUBRE;CRISTO DEL CONSUELO;09D03C07S03;CRISTO DEL CONSUELO 3;GUAYAS;9;GUAYAQUIL;901;-2,216960;-79,907520;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;19:30;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;RECREO;09D24C05S01;RECREO 1;GUAYAS;9;DURAN;907;-2,178040;-79,812650;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;18:00;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;DURAN;ABEL GILBERT;09D24C01S01;ABEL GILBERT 1;GUAYAS;9;DURAN;907;-2,185520;-79,839740;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:50;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;59;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;BACHILLERATO;SIN_DATO
ASESINATO;ZONA 8;DMG;SUR;UNION DE BANANEROS;09D01C02S03;UNION DE BANANEROS 3;GUAYAS;9;GUAYAQUIL;901;-2,260550;-79,883780;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;45;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;PRIMARIA;SIN_DATO
ASESINATO;ZONA 8;DMG;ESTEROS;TRINITARIA SUR;09D02C05S05;TRINITARIA SUR 5;GUAYAS;9;GUAYAQUIL;901;-2,235330;-79,935850;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;9 DE OCTUBRE;VENEZUELA;09D03C05S02;VENEZUELA 2;GUAYAS;9;GUAYAQUIL;901;-2,204910;-79,898440;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;19:12;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA DE FUEGO;68;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;VENDEDOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;DAULE;NOBOL;09D19C10S01;NOBOL 1;GUAYAS;9;NOBOL;925;-1,984190;-80,035380;RURAL;VIA PUBLICA;PUBLICO;02/01/2024;1:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;41;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;DMG;ESTEROS;TRINITARIA SUR;09D02C05S03;TRINITARIA SUR 3;GUAYAS;9;GUAYAQUIL;901;-2,241670;-79,924010;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;4:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;24;A;MUJER;FEMENINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;BACHILLERATO;SIN_DATO
ASESINATO;ZONA 8;DMG;SUR;FLORESTA;09D01C03S01;FLORESTA 1;GUAYAS;9;GUAYAQUIL;901;-2,254990;-79,877180;URBANO;CASA/VILLA;PRIVADO;01/01/2024;5:16;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;18;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
