Tipo Muert.;Zona;Subzona;Distrito;Circuito;Cod. Subcircu;Subcircuito;provincia;código de provincia;cantón;código de cantón;Coord. Y;Coord. X;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Presun. Motiva.;Presun. Motiva. Obser;Probable Causa M.;Edad;Med. Edad;Sexo;Género;Etnia;Estado Civil;Nacionalidad;Discapacidad;Prof Reg Civ;Instrucción;Antecedentes
ASESINATO;ZONA 8;D.M. GUAYAQUIL;DURAN;CENTRO;09D24C02S03;CENTRO 3;GUAYAS;9;DURAN;907;-2,168560;-79,846140;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;11:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO PRIVADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;DURAN;DIVINO NIÑO;09D24C06S01;DIVINO NIÑO 1;GUAYAS;9;DURAN;907;-2,170310;-79,822810;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;14:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;FLORIDA;FLORIDA;09D06C05S03;FLORIDA 3;GUAYAS;9;GUAYAQUIL;901;-2,124290;-79,945950;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;21:15;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MASCULINO;AFRO;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;SUR;GUASMO;09D01C01S01;GUASMO 1;GUAYAS;9;GUAYAQUIL;901;-2,282060;-79,878510;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;20:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;27;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;BUENA FE;PATRICIA PILAR;12D06C05S01;PATRICIA PILAR 1;LOS RÍOS;12;BUENA FE;1210;-0,574350;-79,369980;URBANO;CASA/VILLA;PRIVADO;04/05/2024;10:45;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;SUR;GUASMO;09D01C01S01;GUASMO 1;GUAYAS;9;GUAYAQUIL;901;-2,277570;-79,874610;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;20:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;PASCUALES;BASTION POPULAR SUR;09D07C02S03;BASTION POPULAR SUR 3;GUAYAS;9;GUAYAQUIL;901;-2,099490;-79,935370;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;23:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACH.CIENCIAS GENERALES;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;BUENA FE;VALENCIA;12D06C10S01;VALENCIA 1;LOS RÍOS;12;VALENCIA;1211;-0,944370;-79,335450;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;19:45;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;EL FLORON;13D01C04S02;EL FLORON 2;MANABÍ;13;PORTOVIEJO;1301;-1,068250;-80,488630;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;23:55;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;48;A;MUJER;FEMENINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;QUEHACER. DOMESTICOS;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PEDERNALES;PEDERNALES SUR;13D10C02S01;PEDERNALES SUR 1;MANABÍ;13;PEDERNALES;1317;0,067560;-80,053680;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;1:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MASCULINO;AFRO;NO DETERMINADO;ECUADOR;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
