codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito;delito;modalidad
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;TIRO A TIRO;APREHENDIDO;ARTESANAL;03/01/2024;19:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;09D12;09D12C02;09D12C02S01;ZONA 5;NARANJAL BALAO;BALAO;BALAO 1;9;903;90350;GUAYAS;BALAO;BALAO;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;03/01/2024;19:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;09D12;09D12C02;09D12C02S01;ZONA 5;NARANJAL BALAO;BALAO;BALAO 1;9;903;90350;GUAYAS;BALAO;BALAO;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;04/01/2024;3:30;LUGARES QUE PRESTAN SERVICIOS;GASOLINERA;ZONA 5;24D02;24D02C06;24D02C06S03;ZONA 5;LIBERTAD SALINAS;SANTA ROSA;SANTA ROSA 3;24;2403;240350;SANTA ELENA;SALINAS;SALINAS;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
05.15.001;ARMAS DE FOGUEO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;04/01/2024;5:15;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 4;13D01;13D01C09;13D01C09S01;ZONA 4;PORTOVIEJO;EL GUABITO;EL GUABITO 1;13;1301;130150;MANABI;PORTOVIEJO;PORTOVIEJO;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;02/01/2024;17:20;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D11;13D11C01;13D11C01S01;ZONA 4;SUCRE;BAHIA;BAHIA 1;13;1314;131450;MANABI;SUCRE;BAHIA DE CARAQUEZ;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;APREHENDIDO;ARTESANAL;03/01/2024;10:35;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D03;21D03C01;21D03C01S01;ZONA 1;PUTUMAYO;TARAPOA;TARAPOA 1;21;2107;210750;SUCUMBIOS;CUYABENO;TARAPOA;DELITOS CONTRA PERSONAS Y BIENES PROTEGIDOS POR EL DERECHO INTERNACIONAL HUMANITARIO;ARMAS PROHIBIDAS POR EL DERECHO INTERNACIONAL HUMANITARIO;SIN_DATO
05.02.006;ARMA DE FUEGO;CARTUCHERAS;1;.22;TIRO A TIRO;ABANDONADO;ARTESANAL;03/01/2024;20:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D02;13D02C19;13D02C19S01;ZONA 4;MANTA;MONTECRISTI;MONTECRISTI 1;13;1309;130950;MANABI;MONTECRISTI;MONTECRISTI;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;03/01/2024;13:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;08D04;08D04C02;08D04C02S02;ZONA 1;QUININDE;ROSA ZARATE;ROSA ZARATE 2;8;804;80450;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE);DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;INCAUTADA;ARTESANAL;04/01/2024;9:00;ÁREA PRIVADA;ESPACIO PRIVADO;ZONA 7;11D01;11D01C10;11D01C10S01;ZONA 7;LOJA;TEBAIDA;TEBAIDA 1;11;1101;110150;LOJA;LOJA;LOJA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;APREHENDIDO;ARTESANAL;03/01/2024;17:10;ÁREAS DE ACCESO PUBLICO;TERRENO BALDÍO;ZONA 1;08D04;08D04C09;08D04C09S01;ZONA 1;QUININDE;VICHE;VICHE 1;8;804;80454;ESMERALDAS;QUININDE;VICHE;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
